"date","apparentTemperatureMax","apparentTemperatureMin","sunsetTimeHour","weekday","season","cloudCover","humidity","visibility","month","dewPoint","pressure","energy_sum"
2014-02-08,5.67,2.19,"17","6","winter",0.47,0.77,11.2,"2",3.99,979.25,11.5693004562016
2013-12-24,11.93,2.68,"15","2","winter",0.4,0.81,10.86,"12",5.42,979.52,11.9816715628868
2012-11-01,11.46,0.85,"16","4","autumn",0.44,0.85,12.54,"11",5.06,979.63,10.7816885860688
2014-02-05,5.86,1.03,"16","3","winter",0.73,0.77,10.91,"2",4.06,982.2,11.4151045424321
2012-04-17,10.01,2.76,"19","2","spring",0.6,0.87,11.86,"4",5.74,982.22,10.6174434014384
2012-04-18,8.05,3.41,"19","3","spring",0.67,0.91,10.7,"4",6.34,984.05,10.7933208024257
2013-12-25,4.98,0.23,"15","3","winter",0.03,0.85,12.36,"12",2.57,984.66,12.5428469510484
2014-02-09,3.91,1.38,"17","7","winter",0.52,0.66,12.71,"2",0.82,984.71,12.202967430864
2014-01-28,6.34,1.96,"16","2","winter",0.61,0.83,11.94,"1",3.59,985.33,11.3448047011651
2012-12-14,10.34,-0.92,"15","5","autumn",0.71,0.92,7.45,"12",5.46,985.82,13.0831425731138
2013-12-27,10.99,3.68,"15","5","winter",0.37,0.75,11.43,"12",4.83,986.81,11.6619784475705
2011-12-16,0.99,-2.65,"15","5","autumn",0.7,0.88,10.96,"12",1.6,988.1,13.3760801416031
2012-04-24,11.94,2.27,"19","2","spring",0.57,0.88,11.22,"4",6.86,988.28,10.0326027908213
2014-02-15,5.79,1.77,"17","6","winter",0.35,0.69,12.38,"2",2.95,988.63,11.4904696152022
2014-02-07,8.44,-0.86,"17","5","winter",0.63,0.79,10.85,"2",4.16,988.77,10.972318254623
2012-09-24,15.47,7.49,"17","1","autumn",0.28,0.78,13.13,"9",8.56,988.79,9.62013563396954
2012-09-23,15.2,11.51,"17","7","autumn",0.66,0.88,8.1,"9",11.14,989.47,10.48501289071
2014-01-27,4.34,-2.02,"16","1","winter",0.38,0.79,12.68,"1",1.44,989.87,11.7538709560971
2014-02-06,7.34,1.96,"16","4","winter",0.67,0.82,10.53,"2",4.96,989.9,11.4454033323617
2012-10-31,12.36,4.43,"16","3","autumn",0.49,0.79,12.99,"10",6.24,989.93,10.8264622206197
2012-04-09,12.9,2.8,"18","1","spring",0.37,0.7,13.18,"4",3.93,990.03,10.6329381068606
2014-02-01,6.86,1.1,"16","6","winter",0.19,0.76,11.6,"2",3.18,990.08,11.7105819325163
2011-12-13,12.08,0.22,"15","2","autumn",0.42,0.75,12.55,"12",3.62,990.27,11.9574464294643
2014-02-14,12.02,0.45,"17","5","winter",0.67,0.81,11.17,"2",3.99,990.31,11.8169143320215
2013-03-17,5.13,-0.32,"18","7","winter",0.64,0.88,11.52,"3",3.16,990.34,12.5777825527296
2014-01-16,10.72,3.91,"16","4","winter",0.58,0.83,11.72,"1",6.13,990.5,10.9503075430203
2014-01-17,5.71,2.83,"16","5","winter",0.47,0.87,11.7,"1",5.32,990.8,11.1387360642505
2013-03-18,7.06,-1.32,"18","1","winter",0.5,0.91,7.97,"3",2.21,991.02,11.8165725891348
2012-11-02,6.88,1.81,"16","5","autumn",0.23,0.77,12.96,"11",2.96,991.25,11.026956710777
2012-12-15,11.17,4.32,"15","6","autumn",0.39,0.86,13.15,"12",6.32,991.49,12.4537583213821
2014-01-18,7.53,4.83,"16","6","winter",0.35,0.83,11.81,"1",5.81,991.61,11.5465703025207
2013-11-04,8.24,2.11,"16","1","autumn",0.29,0.82,11.14,"11",4.38,991.64,10.3219179197881
2012-09-25,15.14,10.07,"17","2","autumn",0.39,0.88,12.44,"9",10.23,992.07,9.22081783264438
2014-02-13,3.42,0.05,"17","4","winter",0.36,0.68,13.04,"2",-0.01,992.43,11.2857367269835
2013-10-28,16.08,6.58,"16","1","autumn",0.49,0.81,11.2,"10",9.18,992.5,9.8814403397806
2014-02-10,7.07,0.89,"17","1","winter",0.55,0.84,11.81,"2",3.01,992.84,11.2641751736048
2012-04-19,12.46,2.92,"19","4","spring",0.37,0.83,11.52,"4",5.19,993.06,10.6927654697702
2014-01-02,10.75,3.36,"16","4","winter",0.4,0.82,12.23,"1",6.02,993.31,11.2233471863752
2014-01-01,11.34,3.18,"16","3","winter",0.642309518585873,0.86,9.95,"1",6.78,993.32,12.3025863898608
2014-01-04,6.66,1.16,"16","6","winter",0.61,0.84,11.27,"1",5.21,993.71,11.9950962923514
2012-04-25,13.89,5.94,"19","3","spring",0.56,0.77,12.5,"4",6.93,993.73,10.4972886333683
2014-01-29,2.53,0.18,"16","3","winter",0.93,0.9,9.53,"1",3.05,993.99,11.8007765057256
2013-05-14,13.64,2.67,"19","2","spring",0.71,0.71,11.97,"5",4.12,994.19,9.29040938778171
2012-11-04,7.03,1.18,"16","7","autumn",0.59,0.92,9.99,"11",3.97,994.21,12.6180360440862
2014-02-12,4.73,-1.2,"17","3","winter",0.59,0.75,11.8,"2",1.94,994.27,11.679099381932
2011-12-14,2.88,0.78,"15","3","autumn",0.36,0.79,13.2,"12",1.68,994.48,12.392775862931
2014-01-03,10.49,2.77,"16","5","winter",0.4,0.78,10.93,"1",5.08,994.51,11.4890460694962
2013-01-21,1.08,-4.23,"16","1","winter",0.68,0.9,8.14,"1",-1.86,994.61,13.6400919818397
2014-01-06,12.57,5.91,"16","1","winter",0.58,0.78,10.67,"1",7.64,994.61,11.4085163688296
2013-11-05,12.39,2.98,"16","2","autumn",0.56,0.83,12.1,"11",5.82,994.74,10.7103691212028
2013-01-20,-0.46,-5.88,"16","7","winter",0.85,0.91,5.1,"1",-1.87,994.89,15.0218996733006
2013-12-26,4.53,-0.06,"15","4","winter",0.49,0.92,9.8,"12",2.86,995.06,11.6558585151675
2012-04-22,7.28,4.53,"19","7","spring",0.63,0.86,11.68,"4",5.63,995.32,10.6759580239365
2014-01-19,7.39,2.11,"16","7","winter",0.33,0.8,12.54,"1",3.55,995.52,10.6354125075163
2012-12-25,6.49,3.86,"15","2","winter",0.56,0.89,13.07,"12",6.27,995.66,12.5093124209066
2013-03-16,3.91,1.78,"18","6","winter",0.69,0.85,12.13,"3",4.27,996.08,12.186486909458
2012-11-03,6.47,1.56,"16","6","autumn",0.25,0.79,12.71,"11",2.79,996.52,11.3928860700417
2014-02-11,4.06,-0.57,"17","2","winter",0.41,0.76,12.39,"2",1.32,996.66,11.4526493140274
2013-10-26,15.87,11.66,"16","6","autumn",0.32,0.81,11.18,"10",10.34,996.66,9.61582056214863
2011-12-15,4.38,1.07,"15","4","autumn",0.42,0.77,12.79,"12",2.41,996.75,12.3070793706349
2014-02-04,5.63,1.12,"16","2","winter",0.42,0.75,12.05,"2",2.69,996.87,11.0955844370224
2012-04-23,12.48,4.03,"19","1","spring",0.57,0.76,11.75,"4",4.68,996.88,10.2332989513514
2013-03-07,7.99,6.67,"17","4","winter",0.68,0.93,2.78,"3",7.51,996.96,10.8894692678138
2012-04-10,12.91,1.97,"18","2","spring",0.31,0.7,13.1,"4",2.74,996.99,9.91865182430657
2012-04-20,12.45,1.57,"19","5","spring",0.35,0.73,12.76,"4",3.41,997,10.2849724452354
2013-04-10,11.3,2.98,"18","3","spring",0.69,0.9,6.07,"4",6.18,997.1,10.3913719418458
2013-01-19,-2.56,-5.37,"16","6","winter",0.84,0.86,7.53,"1",-1.83,997.28,14.7039191198655
2013-12-28,5.34,0.77,"15","6","winter",0.11,0.77,13.45,"12",1.72,997.47,11.3790258671174
2013-04-08,6.01,0.39,"18","1","spring",0.7,0.83,6.66,"4",3.41,997.5,10.5934204491202
2013-03-19,5.81,0.65,"18","2","winter",0.59,0.83,8.32,"3",1.92,997.51,11.3876267050719
2013-04-11,11.51,4.87,"18","4","spring",0.54,0.87,11.62,"4",6.92,997.53,10.5597506942169
2013-10-21,18.04,13.79,"16","1","autumn",0.44,0.86,11.67,"10",14.21,997.55,9.47261790161694
2013-03-08,9.04,6.61,"17","5","winter",0.83,0.96,1.93,"3",8.38,997.56,10.9301702281503
2012-04-08,10.81,5.58,"18","7","spring",0.72,0.89,11.15,"4",7.97,997.57,10.6163328348507
2013-01-27,10.26,1.49,"16","7","winter",0.43,0.77,12.01,"1",4.08,997.84,12.9283932653685
2012-11-10,10.31,3.38,"16","6","autumn",0.49,0.91,11.78,"11",7.38,997.84,11.421789797775
2012-06-06,17.29,12.6,"20","3","spring",0.6,0.86,11.15,"6",12.18,998.19,8.42571451266491
2012-10-16,16.6,7.41,"17","2","autumn",0.42,0.82,12.2,"10",9.87,998.22,9.87523371759487
2012-11-26,10.69,5,"16","1","autumn",0.64,0.91,11.31,"11",7.1,998.27,11.5082332729837
2012-06-07,15.17,12.28,"20","4","spring",0.68,0.78,12.05,"6",9.71,998.33,8.75159546561605
2014-01-31,5.27,0.29,"16","5","winter",0.73,0.91,7.08,"1",3.93,998.51,11.8579569248765
2014-01-15,11.19,2.89,"16","3","winter",0.77,0.9,9.85,"1",7.91,998.57,11.1848494391458
2013-12-23,11.95,2.07,"15","1","winter",0.58,0.84,9.98,"12",6.53,998.59,12.0463251759005
2013-11-02,15.08,10.27,"16","6","autumn",0.43,0.82,9.46,"11",8.58,998.6,9.97770980213749
2013-10-22,16.53,8.92,"16","2","autumn",0.34,0.8,12.42,"10",10.86,998.6,9.31166147028483
2013-11-03,11.43,3.89,"16","7","autumn",0.22,0.74,11.99,"11",4.57,998.64,11.0441856336607
2012-12-24,12.3,5.49,"15","1","winter",0.61,0.91,10.85,"12",8.28,999.12,12.0538786494105
2013-02-11,-1.66,-3.92,"17","1","winter",0.87,0.93,4.36,"2",0.27,999.17,13.0586748727753
2013-11-06,14.87,6.77,"16","3","autumn",0.62,0.88,10.19,"11",9.99,999.46,10.4785114663519
2013-02-10,1.58,-4.17,"17","7","winter",0.84,0.93,7.07,"2",2.29,999.65,13.5981282156848
2012-12-16,7.78,3.01,"15","7","autumn",0.39,0.89,12.86,"12",5.42,999.72,12.7608482267909
2013-05-15,15.13,4.17,"19","3","spring",0.36,0.74,10.93,"5",4.78,999.92,9.25626653054572
2014-01-05,11.96,-0.88,"16","7","winter",0.44,0.87,11.67,"1",3.88,1000.02,12.6112740641051
2013-02-05,2.38,-2.91,"16","2","winter",0.48,0.73,12.84,"2",-0.18,1000.03,12.0102716505743
2013-09-16,13.7,5.6,"18","1","summer",0.61,0.84,11.44,"9",8.37,1000.28,8.95260099350277
2014-02-25,11.43,3.89,"17","2","winter",0.62,0.78,12.09,"2",5.06,1000.65,10.2949965968769
2013-05-27,12.13,9.12,"20","1","spring",0.67,0.86,9.37,"5",8.67,1000.65,8.55665845403136
2013-03-06,13.14,6.51,"17","3","winter",0.17,0.72,8.37,"3",4.95,1000.69,10.6752483423473
2012-10-15,14.74,7.15,"17","1","autumn",0.39,0.74,12.59,"10",6.91,1000.8,10.2020812658837
2012-08-24,20.93,15.04,"19","5","summer",0.52,0.88,12.3,"8",14.85,1001.05,7.89937266407726
2011-12-04,6.66,1.03,"15","7","autumn",0.36,0.82,13.36,"12",4.87,1001.15,12.1631272745455
